Saison;Champion
1989-1990;TV Lützellinden (3)
1990-1991;TuS Walle Brême
1991-1992;TuS Walle Brême (2)
1992-1993;TV Lützellinden (4)
1993-1994;TuS Walle Brême (3)
1994-1995;TuS Walle Brême (4)
1995-1996;TuS Walle Brême (5)
1996-1997;TV Lützellinden (5)
1997-1998;VfB Leipzig
1998-1999;VfB Leipzig (2)
1999-2000;TV Lützellinden (6)
2000-2001;TV Lützellinden (7)
2001-2002;HC Leipzig (3)
2002-2003;DJK/MJC Trier
2003-2004;Frankfurter HC
2004-2005;1. FC Nürnberg (4)
2005-2006;HC Leipzig (4)
2006-2007;1. FC Nürnberg (5)
2007-2008;1. FC Nürnberg (6)
2008-2009;HC Leipzig (5)
2009-2010;HC Leipzig (6)
2010-2011;Thüringer HC
2011-2012;Thüringer HC (2)
2012-2013;Thüringer HC (3)
2013-2014;Thüringer HC (4)
2014-2015;Thüringer HC (5)
2015-2016;Thüringer HC (6)
2016-2017;SG BBM Bietigheim
2017-2018;Thüringer HC (7)
